CHAMPION_NAME,ITEM_NAME,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
SHEN,Winged Moonplate,Epic,0.075,0,1.82,20,Bramble Vest,Negatron Cloak,Titanic Hydra
KENNEN,Control Ward,Consumable,0.0857,0.3333,2.72,5,Sorcerer's Shoes,Hextech Gunblade,Shadowflame
VOLIBEAR,Glowing Mote,Basic,0.0175,1,1.25,10,Axiom Arc,Hextech Gunblade,Plated Steelcaps
SENNA,Amplifying Tome,Basic,0.0238,1,12.00,20,Echoes Of Helia,Ionian Boots Of Lucidity,Kindlegem
RAKAN,Spectre's Cowl,Epic,0.0238,1,5.80,35,Locket Of The Iron Solari,Redemption,Zeke's Convergence
RUMBLE,Plated Steelcaps,Boots,0.2667,0.5,1.12,10,Liandry's Torment,Bloodletter's Curse,Hextech Alternator
NEEKO,Zhonya's Hourglass,Legendary,0.4872,0.3684,4.43,25,Hextech Rocketbelt,Abyssal Mask,Banshee's Veil
NUNU,Warden's Mail,Epic,0.1379,0.5,2.01,20,Liandry's Torment,Bramble Vest,Glacial Buckler
CASSIOPEIA,Rod Of Ages,Legendary,0.6923,0.6111,1.56,15,Rylai's Crystal Scepter,Actualizer,Cosmic Drive
DARIUS,Dead Man's Plate,Legendary,0.3171,0.4615,2.84,25,Stridebreaker,Sterak's Gage,Force Of Nature
GALIO,Abyssal Mask,Legendary,0.02,1,5.75,40,Frozen Heart,Hollow Radiance,Thornmail
TEEMO,Mejai's Soulstealer,Legendary,0.1429,1,1.78,30,Liandry's Torment,Malignance,Void Staff
DRAVEN,Elixir Of Wrath,Consumable,0.0227,0,2.86,40,Bloodthirster,Essence Reaver,Infinity Edge
ORIANNA,Fiendish Codex,Epic,0.0833,1,4.11,20,Blackfire Torch,Aether Wisp,
JAYCE,Youmuu's Ghostblade,Legendary,0.7654,0.5161,2.84,10,Opportunity,Serylda's Grudge,Edge Of Night
SMOLDER,Zeal,Epic,0.1296,0,1.26,25,Essence Reaver,Spear Of Shojin,Infinity Edge
SEJUANI,Warmog's Armor,Legendary,0.0714,1,3.29,25,Abyssal Mask,Frozen Heart,Heartsteel
SEJUANI,Control Ward,Consumable,0.2143,0.3333,1.88,5,Kaenic Rookern,Mercury's Treads,Bandlepipes
YUUMI,Imperial Mandate,Legendary,0.069,0.5,8.39,25,Ardent Censer,Moonstone Renewer,Dawncore
LILLIA,Plated Steelcaps,Boots,0.0714,1,4.33,15,Chain Vest,Liandry's Torment,Mejai's Soulstealer
AKSHAN,Control Ward,Consumable,0.0196,1,4.25,15,Bloodsong,Boots,Dagger
PANTHEON,Sundered Sky,Legendary,0.4,0.5625,2.38,15,Black Cleaver,Mortal Reminder,Spear Of Shojin
FIORA,Pickaxe,Basic,0.2564,0.9,1.46,25,Ravenous Hydra,Plated Steelcaps,Trinity Force
CAMILLE,Tiamat,Epic,0.0714,0,0.86,20,Trinity Force,,
KAISA,Control Ward,Consumable,0.0097,0,0.50,10,Doran's Blade,Dusk And Dawn,Guinsoo's Rageblade
RAMMUS,Bami's Cinder,Epic,0.4,0,1.94,5,Thornmail,Giant's Belt,Kaenic Rookern
ELISE,Control Ward,Consumable,0.4872,0.3158,2.28,15,Sorcerer's Shoes,Stormsurge,Dark Seal
TWISTEDFATE,Null-Magic Mantle,Basic,0.0278,1,1.00,5,Boots,Ruby Crystal,
REKSAI,Titanic Hydra,Legendary,0.75,0.4167,3.98,15,Spear Of Shojin,Death's Dance,Serpent's Fang
JINX,Yun Tal Wildarrows,Legendary,0.7353,0.42,2.20,15,Infinity Edge,Runaan's Hurricane,Lord Dominik's Regards
ZYRA,Rylai's Crystal Scepter,Legendary,0.2105,0.75,3.42,20,Liandry's Torment,Blackfire Torch,Cryptbloom
REKSAI,Phage,Epic,0.0313,1,3.33,10,Chempunk Chainsword,Kindlegem,Spear Of Shojin
ZOE,Dark Seal,Starter,0.2727,0.5556,3.01,5,Luden's Companion,Doran's Ring,Lich Bane
ANIVIA,Bandlepipes,Legendary,0.0278,0,2.80,25,Rod Of Ages,,
DRAVEN,Serrated Dirk,Epic,0.0227,1,1.18,10,Essence Reaver,Infinity Edge,Lord Dominik's Regards
REKSAI,Winged Moonplate,Epic,0.0313,1,4.14,35,Chain Vest,Spear Of Shojin,Sterak's Gage
MALPHITE,Knight's Vow,Legendary,0.0282,0,1.00,30,Hollow Radiance,"Jak'sho, The Protean",Locket Of The Iron Solari
NUNU,Spectre's Cowl,Epic,0.1724,0.4,2.46,15,Liandry's Torment,Frozen Heart,Kaenic Rookern
SION,Unending Despair,Legendary,0.6667,0.5769,2.21,20,Hollow Radiance,"Jak'sho, The Protean",Randuin's Omen
KALISTA,Farsight Alteration,Trinket,0.9231,0.6667,2.28,15,Blade Of The Ruined King,Doran's Blade,Guinsoo's Rageblade
ORNN,Sunfire Aegis,Legendary,0.4878,0.65,1.99,15,Kaenic Rookern,Thornmail,Frozen Heart
VAYNE,Serrated Dirk,Epic,0.0423,0.6667,1.07,15,Essence Reaver,Stormrazor,Lord Dominik's Regards
KAISA,Farsight Alteration,Trinket,0.8544,0.4545,2.25,15,Kraken Slayer,Guinsoo's Rageblade,Doran's Blade
AKSHAN,Doran's Blade,Starter,0.3725,0.6316,2.83,5,The Collector,Umbral Glaive,Last Whisper
POPPY,Dead Man's Plate,Legendary,0.3684,0.4286,1.96,20,Bandlepipes,Locket Of The Iron Solari,Protoplasm Harness
POPPY,Plated Steelcaps,Boots,0.2632,0.6,1.83,10,Bandlepipes,Dead Man's Plate,Iceborn Gauntlet
MALZAHAR,Farsight Alteration,Trinket,0.5714,0.625,1.82,15,Liandry's Torment,Rylai's Crystal Scepter,Blackfire Torch
RENEKTON,Long Sword,Basic,0.0923,0.5,1.94,5,Eclipse,Boots,Hexdrinker
KOGMAW,Doran's Blade,Starter,0.2857,0.5,1.55,5,Guinsoo's Rageblade,Blade Of The Ruined King,Runaan's Hurricane
AMBESSA,Eclipse,Legendary,0.4894,0.413,1.89,15,Spear Of Shojin,Death's Dance,Black Cleaver
DRMUNDO,Thornmail,Legendary,0.1096,0.625,3.44,30,Heartsteel,Spirit Visage,Dead Man's Plate
IVERN,Doran's Ring,Starter,0.1304,0.3333,2.88,5,Ionian Boots Of Lucidity,Malignance,Bandleglass Mirror
AZIR,Farsight Alteration,Trinket,0.6923,0.4444,2.70,20,Nashor's Tooth,Rabadon's Deathcap,Doran's Ring
LEESIN,Doran's Blade,Starter,0.0556,0.5,0.73,5,Plated Steelcaps,Ravenous Hydra,Black Cleaver
KASSADIN,Tear Of The Goddess,Starter,0.1781,0.2308,1.19,5,Rod Of Ages,Boots,Dark Seal
AATROX,Serpent's Fang,Legendary,0.0435,0,0.58,15,Maw Of Malmortius,Spear Of Shojin,
ASHE,Kraken Slayer,Legendary,0.7083,0.5882,2.90,15,Phantom Dancer,Infinity Edge,Fiendhunter Bolts
KASSADIN,Giant's Belt,Epic,0.0274,0.5,1.70,30,Malignance,Rod Of Ages,Frozen Heart
LISSANDRA,Luden's Companion,Legendary,0.1176,0,1.82,10,Zhonya's Hourglass,Rabadon's Deathcap,Shadowflame
KARTHUS,Shadowflame,Legendary,0.7143,0.6333,2.78,20,Blackfire Torch,Rabadon's Deathcap,Liandry's Torment
SYLAS,Cryptbloom,Legendary,0.0213,0.5,1.18,20,Hextech Rocketbelt,Rod Of Ages,Zhonya's Hourglass
THRESH,Kindlegem,Epic,0.3966,0.5217,2.66,10,Bandlepipes,Locket Of The Iron Solari,Chain Vest
SYLAS,Hextech Gunblade,Legendary,0.0426,0.5,1.50,15,Hextech Rocketbelt,Riftmaker,Morellonomicon
VOLIBEAR,Winged Moonplate,Epic,0.0877,0.8,2.77,20,Dusk And Dawn,Chain Vest,Navori Flickerblade
FIZZ,Control Ward,Consumable,0.0526,0,1.78,25,Lich Bane,Shadowflame,Sorcerer's Shoes
SENNA,Refillable Potion,Consumable,0.0476,0,3.06,5,Boots Of Swiftness,Black Cleaver,Cloak Of Agility
NAMI,Zaz'zak's Realmspike,Legendary,0.0075,0,0.88,15,Ardent Censer,Imperial Mandate,
XINZHAO,Kindlegem,Epic,0.05,0,2.50,20,Phage,Sundered Sky,
PANTHEON,B. F. Sword,Basic,0.025,1,6.33,35,Black Cleaver,Mercury's Treads,Sterak's Gage
CHOGATH,Boots,Boots,0.05,1,0.50,5,Chain Vest,Hextech Rocketbelt,
ZAC,Protoplasm Harness,Legendary,0.1481,0.5,5.09,30,Sunfire Aegis,Spirit Visage,Hextech Rocketbelt
JARVANIV,Executioner's Calling,Epic,0.0149,1,4.00,20,Eclipse,Spirit Visage,
RENEKTON,Kindlegem,Epic,0.0308,0.5,1.75,15,Black Cleaver,Eclipse,Phage
SHEN,Warmog's Armor,Legendary,0.025,0,1.20,25,,,
VELKOZ,Seeker's Armguard,Epic,0.0294,0,3.13,25,Luden's Companion,Rabadon's Deathcap,Stormsurge
TWITCH,Boots Of Swiftness,Boots,0.0303,1,4.17,15,Nashor's Tooth,Rabadon's Deathcap,Zhonya's Hourglass
QIYANA,Dark Seal,Starter,0.0175,0,0.38,5,Blasting Wand,Boots Of Swiftness,Doran's Blade
NAMI,Aether Wisp,Epic,0.0299,0.5,5.42,20,Forbidden Idol,Imperial Mandate,Bandlepipes
JAX,Stealth Ward,Trinket,0.375,0.4074,1.33,5,Trinity Force,Sundered Sky,Plated Steelcaps
VLADIMIR,Kindlegem,Epic,0.0175,1,2.57,10,Hextech Rocketbelt,Rabadon's Deathcap,Riftmaker
ZED,Noonquiver,Epic,0.0323,0,1.46,20,Bastionbreaker,Eclipse,Last Whisper
VELKOZ,Aether Wisp,Epic,0.0294,0,2.50,20,Hextech Alternator,Horizon Focus,
ZOE,Mejai's Soulstealer,Legendary,0.1515,1,8.62,15,Luden's Companion,Lich Bane,Rabadon's Deathcap
SHACO,Elixir Of Wrath,Consumable,0.04,0,5.40,30,Boots Of Swiftness,Edge Of Night,Profane Hydra
LEBLANC,Hextech Gunblade,Legendary,0.0556,0,1.80,15,Zaz'zak's Realmspike,,
JAYCE,Long Sword,Basic,0.3457,0.5714,3.03,5,Youmuu's Ghostblade,Opportunity,Ionian Boots Of Lucidity
RENEKTON,Caulfield's Warhammer,Epic,0.0615,0.5,1.64,10,Death's Dance,Eclipse,Maw Of Malmortius
MISSFORTUNE,Youmuu's Ghostblade,Legendary,0.5172,0.5333,2.15,10,The Collector,Lord Dominik's Regards,Infinity Edge
GRAVES,Vampiric Scepter,Epic,0.0476,0,3.57,5,Immortal Shieldbow,Infinity Edge,Lord Dominik's Regards
SORAKA,Plated Steelcaps,Boots,0.0667,0,2.07,30,Forbidden Idol,Moonstone Renewer,
DRMUNDO,Plated Steelcaps,Boots,0.2192,0.4375,2.48,15,Heartsteel,Dead Man's Plate,Spirit Visage
FIDDLESTICKS,Control Ward,Consumable,0.25,0.4286,2.48,5,Amplifying Tome,Liandry's Torment,Sorcerer's Shoes
RENEKTON,Spectre's Cowl,Epic,0.0154,0,1.63,25,Black Cleaver,Negatron Cloak,Sterak's Gage
TALON,Endless Hunger,Legendary,0.0161,1,3.14,20,Black Cleaver,Eclipse,Ravenous Hydra
TEEMO,Void Staff,Legendary,0.1429,1,1.78,25,Liandry's Torment,Malignance,Mejai's Soulstealer
KHAZIX,Bastionbreaker,Legendary,0.3881,0.3846,3.06,20,Umbral Glaive,Edge Of Night,Opportunity
AURORA,Oblivion Orb,Epic,0.0455,1,3.33,25,Fiendish Codex,Haunting Guise,Liandry's Torment
AZIR,Refillable Potion,Consumable,0.3077,0.5,3.17,10,Nashor's Tooth,Doran's Ring,Amplifying Tome
KASSADIN,Force Of Nature,Legendary,0.0137,0,1.40,30,Rod Of Ages,,
NAMI,Ionian Boots Of Lucidity,Boots,0.8284,0.5676,3.11,15,Imperial Mandate,Moonstone Renewer,Echoes Of Helia
APHELIOS,Stealth Ward,Trinket,0.0968,0.7778,1.84,5,Doran's Blade,Stormrazor,Long Sword
DRAVEN,Doran's Blade,Starter,0.5,0.4091,2.03,5,Infinity Edge,The Collector,Berserker's Greaves
RELL,Boots Of Swiftness,Boots,0.1136,0.6,3.25,15,Zeke's Convergence,Bandlepipes,Abyssal Mask
FIZZ,Elixir Of Sorcery,Consumable,0.0526,1,2.88,40,Bloodletter's Curse,Dusk And Dawn,Mercury's Treads
BARD,Kindlegem,Epic,0.2308,0.5556,4.17,10,Dead Man's Plate,Bandlepipes,Liandry's Torment
HEIMERDINGER,Oracle Lens,Trinket,0.5714,0.25,1.38,5,Amplifying Tome,Control Ward,Boots
AMBESSA,Ionian Boots Of Lucidity,Boots,0.0851,0.75,4.29,20,Death's Dance,Axiom Arc,Endless Hunger
MORDEKAISER,Morellonomicon,Legendary,0.0455,0,3.80,35,Dusk And Dawn,Riftmaker,Rylai's Crystal Scepter
NOCTURNE,Glowing Mote,Basic,0.0667,1,2.67,5,Axiom Arc,Bastionbreaker,Boots
QIYANA,B. F. Sword,Basic,0.0526,1,3.29,30,Edge Of Night,Ionian Boots Of Lucidity,Profane Hydra
DARIUS,Hexdrinker,Epic,0.0244,1,3.00,10,Force Of Nature,Spear Of Shojin,Stridebreaker
BRAND,Ruby Crystal,Basic,0.0357,0,2.25,10,Amplifying Tome,Blackfire Torch,Fated Ashes
RENEKTON,Spear Of Shojin,Legendary,0.2769,0.4444,2.38,25,Eclipse,Black Cleaver,Death's Dance
SWAIN,Rod Of Ages,Legendary,0.0227,0,0.67,10,Blackfire Torch,Rylai's Crystal Scepter,Zhonya's Hourglass
LEESIN,Hexdrinker,Epic,0.0694,0.8,2.70,25,Sundered Sky,Caulfield's Warhammer,Profane Hydra
JARVANIV,Spear Of Shojin,Legendary,0.0149,1,2.50,35,Axiom Arc,Profane Hydra,Sundered Sky
MEL,Needlessly Large Rod,Basic,0.2647,0.6667,2.27,25,Blackfire Torch,Cosmic Drive,Luden's Companion
LUX,Dark Seal,Starter,0.3077,0.5,3.10,5,Needlessly Large Rod,Malignance,Stormsurge
SION,Titanic Hydra,Legendary,0.2564,0.8,2.19,15,Unending Despair,Hollow Radiance,Thornmail
ZAAHEN,Trinity Force,Legendary,0.7436,0.6207,1.54,15,Sundered Sky,Death's Dance,Stridebreaker
LISSANDRA,Blasting Wand,Basic,0.0588,0,1.71,10,Blighting Jewel,Malignance,Shadowflame
ALISTAR,Sunfire Aegis,Legendary,0.0172,0,1.00,20,,,
VI,Control Ward,Consumable,0.3,1,4.33,5,Long Sword,Plated Steelcaps,Steel Sigil
BARD,Dark Seal,Starter,0.0897,0.5714,5.62,5,Boots Of Swiftness,Dead Man's Plate,Fated Ashes
TWITCH,Control Ward,Consumable,0.0303,0.5,1.75,10,Dagger,The Collector,Berserker's Greaves
KAISA,Long Sword,Basic,0.0291,0.6667,2.47,5,Guinsoo's Rageblade,Kraken Slayer,Berserker's Greaves
LEONA,Locket Of The Iron Solari,Legendary,0.5273,0.5862,3.30,15,Bandlepipes,Protoplasm Harness,Knight's Vow
EVELYNN,Dark Seal,Starter,0.25,0.5,3.00,5,Lich Bane,Rabadon's Deathcap,Sorcerer's Shoes
QUINN,Mortal Reminder,Legendary,0.375,0.3333,1.71,15,Profane Hydra,Edge Of Night,
DARIUS,Cloth Armor,Basic,0.0732,0,0.44,5,Mercury's Treads,Stridebreaker,Sterak's Gage
AHRI,Farsight Alteration,Trinket,0.3261,0.5333,3.74,15,Blackfire Torch,Cosmic Drive,Malignance
FIZZ,Void Staff,Legendary,0.1053,0,3.88,25,Lich Bane,Liandry's Torment,Rabadon's Deathcap
CAMILLE,Doran's Shield,Starter,0.1429,1,3.04,5,Ravenous Hydra,Trinity Force,Ionian Boots Of Lucidity
REKSAI,Doran's Shield,Starter,0.0313,0,1.17,5,Plated Steelcaps,Ruby Crystal,Spear Of Shojin
FIORA,Boots,Boots,0.0513,0.5,1.00,10,Ravenous Hydra,Phage,Sheen
TALIYAH,Elixir Of Sorcery,Consumable,0.0678,0.5,2.37,35,Rabadon's Deathcap,Rylai's Crystal Scepter,Blackfire Torch
ORNN,Negatron Cloak,Epic,0.2195,0.8889,3.47,20,Sunfire Aegis,Thornmail,Unending Despair
PANTHEON,Bloodsong,Legendary,0.025,1,1.50,15,Eclipse,Serpent's Fang,Umbral Glaive
SWAIN,Ionian Boots Of Lucidity,Boots,0.0227,0,0.86,15,Giant's Belt,Liandry's Torment,
HECARIM,Eclipse,Legendary,0.1053,0.5,2.60,15,Black Cleaver,Guardian Angel,Maw Of Malmortius
UDYR,Seeker's Armguard,Epic,0.0667,1,6.00,25,Spirit Visage,Unending Despair,
BLITZCRANK,Ruby Crystal,Basic,0.1667,1,1.23,5,Boots Of Swiftness,Bandlepipes,Bramble Vest
CAITLYN,Quicksilver Sash,Epic,0.01,1,3.67,35,Hexoptics C44,Infinity Edge,Lord Dominik's Regards
SIVIR,Navori Flickerblade,Legendary,0.6667,0.4333,2.99,20,Essence Reaver,Infinity Edge,Lord Dominik's Regards
KAYN,B. F. Sword,Basic,0.0345,1,2.33,30,Axiom Arc,Edge Of Night,Ionian Boots Of Lucidity
SYLAS,Doran's Ring,Starter,0.3085,0.5172,1.83,5,Hextech Rocketbelt,Dark Seal,Amplifying Tome
AURORA,Actualizer,Legendary,0.0455,1,2.00,25,Liandry's Torment,Mejai's Soulstealer,
KAYN,Bastionbreaker,Legendary,0.1034,0.6667,1.62,25,Axiom Arc,Opportunity,Edge Of Night
TWISTEDFATE,Control Ward,Consumable,0.0556,0,2.29,10,Doran's Ring,Rod Of Ages,Cryptbloom
JANNA,Ardent Censer,Legendary,0.0938,0.6667,3.59,30,Moonstone Renewer,Redemption,Shurelya's Battlesong
SHYVANA,Tiamat,Epic,0.25,0,1.00,10,Navori Flickerblade,Sundered Sky,
AMBESSA,Doran's Shield,Starter,0.1596,0.5333,1.70,5,Eclipse,Plated Steelcaps,Spear Of Shojin
UDYR,Dusk And Dawn,Legendary,0.2,0.3333,2.54,20,Spirit Visage,Dead Man's Plate,Kraken Slayer
OLAF,Cloak Of Agility,Basic,0.0435,0,0.67,5,Fiendhunter Bolts,Immortal Shieldbow,Infinity Edge
TWISTEDFATE,Rod Of Ages,Legendary,0.6944,0.44,2.36,15,Lich Bane,Rapid Firecannon,Zhonya's Hourglass
VAYNE,Farsight Alteration,Trinket,0.7042,0.62,2.07,20,Berserker's Greaves,Doran's Blade,Stormrazor
JAYCE,Elixir Of Wrath,Consumable,0.0988,0.25,2.67,35,Serylda's Grudge,Youmuu's Ghostblade,Edge Of Night
VIKTOR,Mejai's Soulstealer,Legendary,0.0278,0,6.25,35,Cosmic Drive,Rod Of Ages,Zhonya's Hourglass
KAYN,Stealth Ward,Trinket,0.069,0.5,0.83,5,Black Cleaver,Boots,Doran's Blade
REKSAI,Death's Dance,Legendary,0.2188,0.4286,5.46,25,Spear Of Shojin,Titanic Hydra,Black Cleaver
NILAH,Immortal Shieldbow,Legendary,0.4615,0.5,2.78,25,Infinity Edge,The Collector,Lord Dominik's Regards
YUNARA,Cull,Starter,0.122,0.5,2.24,5,Doran's Blade,Kraken Slayer,Fiendhunter Bolts
ZAAHEN,Ruby Crystal,Basic,0.0769,0.6667,2.46,5,Mercury's Treads,Long Sword,Sundered Sky
QUINN,Serrated Dirk,Epic,0.25,0.5,3.11,15,Lord Dominik's Regards,Infinity Edge,Profane Hydra
VAYNE,Youmuu's Ghostblade,Legendary,0.0423,0.6667,2.28,25,Essence Reaver,Stormrazor,Edge Of Night
KATARINA,Oracle Lens,Trinket,0.2321,0.6923,3.01,15,Shadowflame,Dark Seal,Hextech Gunblade
LILLIA,Chain Vest,Epic,0.0714,1,4.33,25,Liandry's Torment,Mejai's Soulstealer,Riftmaker
ELISE,Zhonya's Hourglass,Legendary,0.2821,0.3636,2.59,25,Stormsurge,Shadowflame,Lich Bane
JAX,Elixir Of Iron,Consumable,0.0139,0,1.92,35,Dusk And Dawn,Pickaxe,Plated Steelcaps
AKALI,Chain Vest,Epic,0.0161,0,2.13,30,Giant's Belt,Hextech Gunblade,Negatron Cloak
POPPY,Long Sword,Basic,0.0526,1,1.67,10,Boots Of Swiftness,Dead Man's Plate,Tunneler
JHIN,Hexdrinker,Epic,0.0139,0,3.14,30,Bloodthirster,Infinity Edge,Lord Dominik's Regards
ZAC,Fiendish Codex,Epic,0.037,1,1.70,10,Aether Wisp,Kindlegem,Riftmaker
MORGANA,Sapphire Crystal,Basic,0.0769,0,1.00,5,Echoes Of Helia,Fated Ashes,Ionian Boots Of Lucidity
HWEI,Hextech Alternator,Epic,0.0455,1,4.00,20,Cryptbloom,Luden's Companion,
CHOGATH,Warden's Mail,Epic,0.05,0,1.83,25,Force Of Nature,Heartsteel,
KINDRED,B. F. Sword,Basic,0.1333,1,7.75,20,Kraken Slayer,The Collector,Boots
NAAFIRI,Death's Dance,Legendary,0.1905,0.5833,3.24,25,Profane Hydra,Axiom Arc,Serylda's Grudge
XERATH,Needlessly Large Rod,Basic,0.2727,0.3333,2.90,15,Luden's Companion,Shadowflame,Sorcerer's Shoes
CORKI,Doran's Blade,Starter,0.641,0.5,2.25,5,Plated Steelcaps,Trinity Force,Essence Reaver
PANTHEON,Spectre's Cowl,Epic,0.025,1,2.00,30,Spear Of Shojin,Sterak's Gage,Sundered Sky
GAREN,Stealth Ward,Trinket,0.3784,0.5714,1.79,5,Stridebreaker,Phantom Dancer,Dagger
RIVEN,Kindlegem,Epic,0.027,0,0.57,25,Eclipse,,
RENGAR,Sheen,Epic,0.0175,0,1.10,20,Edge Of Night,Profane Hydra,Umbral Glaive
KAYN,Mercury's Treads,Boots,0.2069,0.8333,3.57,20,Serpent's Fang,Serylda's Grudge,Axiom Arc
AMBESSA,Serrated Dirk,Epic,0.0532,0.4,1.77,25,Profane Hydra,Opportunity,Axiom Arc
FIORA,Boots Of Swiftness,Boots,0.0769,1,3.30,15,Ravenous Hydra,Trinity Force,Spear Of Shojin
KINDRED,Serpent's Fang,Legendary,0.1333,0.5,4.55,20,Kraken Slayer,Mortal Reminder,The Collector
ORNN,Cloth Armor,Basic,0.0976,0.25,1.98,5,Plated Steelcaps,Sunfire Aegis,Unending Despair
SHEN,Randuin's Omen,Legendary,0.175,0.1429,2.30,25,Titanic Hydra,Kaenic Rookern,Dead Man's Plate
KAYLE,Cull,Starter,0.1034,0,0.16,5,Boots Of Swiftness,Doran's Shield,Amplifying Tome
LULU,Fiendish Codex,Epic,0.0988,0.375,3.45,10,Ardent Censer,Forbidden Idol,Mikael's Blessing
LILLIA,Sorcerer's Shoes,Boots,0.2143,0,2.05,15,Liandry's Torment,Riftmaker,Zhonya's Hourglass
CORKI,Steel Sigil,Epic,0.0128,1,4.60,25,Essence Reaver,Infinity Edge,Rapid Firecannon
SWAIN,Giant's Belt,Epic,0.0682,0,0.74,10,Blackfire Torch,Frozen Heart,Liandry's Torment
PANTHEON,Spear Of Shojin,Legendary,0.05,0.5,2.13,20,Sundered Sky,Black Cleaver,Sterak's Gage
CASSIOPEIA,Plated Steelcaps,Boots,0.1923,0.8,2.50,15,Rylai's Crystal Scepter,Rod Of Ages,Giant's Belt
MILIO,Oracle Lens,Trinket,1,0.6122,3.71,10,Ionian Boots Of Lucidity,Control Ward,Echoes Of Helia
LILLIA,Mejai's Soulstealer,Legendary,0.1429,1,4.42,25,Liandry's Torment,Riftmaker,Zhonya's Hourglass
LEBLANC,Aether Wisp,Epic,0.0278,0,1.67,10,Hextech Alternator,Luden's Companion,Rabadon's Deathcap
UDYR,Unending Despair,Legendary,0.0667,1,6.00,15,Spirit Visage,,
SETT,Overlord's Bloodmail,Legendary,0.3889,0.2857,2.43,20,Stridebreaker,Sterak's Gage,Black Cleaver
VARUS,Plated Steelcaps,Boots,0.1721,0.4286,1.59,10,Dusk And Dawn,Nashor's Tooth,Experimental Hexplate
FIZZ,Doran's Ring,Starter,0.4211,0.5,2.75,5,Lich Bane,Dark Seal,Zhonya's Hourglass
VI,The Collector,Legendary,0.1,1,3.20,20,Eclipse,,
TRISTANA,Bloodthirster,Legendary,0.1077,0.7143,4.14,30,Infinity Edge,Lord Dominik's Regards,Yun Tal Wildarrows
YORICK,Tunneler,Epic,0.1667,0.5,2.39,15,Trinity Force,Black Cleaver,
SONA,Forbidden Idol,Epic,0.28,0.2857,2.55,20,Echoes Of Helia,Moonstone Renewer,Kindlegem
ZERI,Runaan's Hurricane,Legendary,0.2903,0.5556,2.19,20,Lord Dominik's Regards,Yun Tal Wildarrows,Infinity Edge
AZIR,Spellslinger's Shoes,Legacy,0.0769,0,2.17,,,,
VEX,Spellslinger's Shoes,Legacy,0.0526,0,1.25,,,,
ZIGGS,Oblivion Orb,Epic,0.1613,0.2,1.85,15,Luden's Companion,Shadowflame,Liandry's Torment
SHACO,Stormrazor,Legendary,0.12,0.6667,3.87,30,Infinity Edge,Lord Dominik's Regards,The Collector
MORGANA,Fiendish Codex,Epic,0.0769,0,1.00,10,Aether Wisp,Imperial Mandate,Kindlegem
MONKEYKING,Phage,Epic,0.0769,0,1.38,25,Trinity Force,Serpent's Fang,Sundered Sky
SHEN,Thornmail,Legendary,0.1,0.75,4.13,25,Titanic Hydra,Dead Man's Plate,Frozen Heart
EKKO,Needlessly Large Rod,Basic,0.31,0.2903,2.82,20,Dusk And Dawn,Sorcerer's Shoes,Shadowflame
MORGANA,Kindlegem,Epic,0.1538,0,1.04,15,Aether Wisp,Blackfire Torch,Fiendish Codex
SHACO,Youmuu's Ghostblade,Legendary,0.32,0.625,2.90,10,The Collector,Infinity Edge,Lord Dominik's Regards
FIDDLESTICKS,Liandry's Torment,Legendary,0.3571,0.5,2.26,15,Zhonya's Hourglass,Bloodletter's Curse,Malignance
ZAC,Abyssal Mask,Legendary,0.037,1,4.20,25,Spirit Visage,Sunfire Aegis,
KARMA,Farsight Alteration,Trinket,0.0685,0.2,2.36,15,Malignance,Moonstone Renewer,Dark Seal
SHACO,Sorcerer's Shoes,Boots,0.04,0,0.75,15,Blackfire Torch,Liandry's Torment,
KASSADIN,Needlessly Large Rod,Basic,0.2466,0.6111,2.55,25,Rod Of Ages,Malignance,Mercury's Treads
SHEN,Doran's Shield,Starter,0.5,0.4,3.45,5,Titanic Hydra,Plated Steelcaps,Bramble Vest
SION,Sunfire Aegis,Legendary,0.1538,0.1667,2.69,15,Thornmail,Unending Despair,"Jak'sho, The Protean"
MONKEYKING,Ravenous Hydra,Legendary,0.1154,0.3333,1.84,15,Essence Reaver,Death's Dance,Mortal Reminder
AURELIONSOL,Banshee's Veil,Legendary,0.0968,0.6667,7.68,25,Liandry's Torment,Rylai's Crystal Scepter,Bloodletter's Curse
VI,Trinity Force,Legendary,0.1,1,9.00,15,,,
AATROX,Control Ward,Consumable,0.0652,1,3.56,10,Mercury's Treads,Sundered Sky,Death's Dance
SERAPHINE,Dawncore,Legendary,0.125,1,3.04,30,Echoes Of Helia,Blackfire Torch,Moonstone Renewer
QUINN,Stealth Ward,Trinket,0.5,0.5,1.66,5,Long Sword,Edge Of Night,Profane Hydra
SEJUANI,Tear Of The Goddess,Starter,0.0714,1,1.00,10,Dark Seal,Doran's Ring,Giant's Belt
LISSANDRA,Malignance,Legendary,0.6471,0.5455,1.90,15,Shadowflame,Zhonya's Hourglass,Abyssal Mask
HWEI,Cryptbloom,Legendary,0.0455,1,4.00,20,Luden's Companion,,
APHELIOS,Bloodthirster,Legendary,0.1075,0.6,2.08,30,Infinity Edge,Immortal Shieldbow,The Collector
APHELIOS,Ruby Crystal,Basic,0.0108,1,1.30,30,Immortal Shieldbow,Infinity Edge,Plated Steelcaps
